,Date,Open Price,High Price,Low Price,Close Price,Volume,MA60,MA20,MA10,MA5,kc_middle,kc_upper,kc_lower
110,20221105 14:00:00,21271.94,21331.83,21210.98,21279.35,11664.2357,20718.40133333333,21303.762000000002,21334.153,21316.832000000002,21017.91599850446,21254.62200022356,20781.20999678536
111,20221105 15:00:00,21279.35,21354.42,21265.99,21299.22,12729.69102,20734.877833333336,21313.296,21325.085,21313.048000000003,21031.368390825864,21262.0897474779,20800.647034173828
112,20221105 16:00:00,21299.22,21345.0,21299.02,21324.73,9704.69665,20750.990833333337,21323.025,21317.417999999998,21297.068,21045.394556311203,21262.239683611962,20828.549429010443
113,20221105 17:00:00,21324.73,21333.58,21269.22,21319.29,8879.23499,20766.6875,21330.492000000002,21310.905000000002,21298.808,21058.48748359506,21266.5200446171,20850.454922573022
114,20221105 18:00:00,21319.29,21330.16,21261.56,21292.57,8055.84134,20783.109500000002,21336.219,21311.061999999998,21303.032,21069.675193499486,21270.62445968251,20868.725927316464
115,20221105 19:00:00,21291.79,21345.08,21283.39,21331.11,7078.21851,20800.243166666667,21345.3485,21315.108,21313.384,21082.167991214967,21275.360292600828,20888.975689829105
116,20221105 20:00:00,21330.58,21380.0,21322.0,21352.42,5867.97227,20817.829833333333,21341.253,21318.536,21324.023999999998,21095.079974045224,21280.55301109853,20909.606936991917
117,20221105 21:00:00,21352.42,21358.83,21321.87,21335.35,3138.291,20834.770000000004,21339.780000000002,21311.608,21326.147999999997,21106.557671340637,21280.875360215327,20932.239982465948
118,20221105 22:00:00,21335.18,21346.91,21289.29,21296.95,6400.81252,20851.925,21335.250999999997,21310.244,21321.68,21115.651338778192,21284.06123756796,20947.241439988426
119,20221105 23:00:00,21296.17,21315.0,21233.33,21299.37,10011.91886,20871.403833333334,21327.989,21313.036,21323.04,21124.42499220503,21292.32789947862,20956.52208493144
120,20221106 00:00:00,21299.37,21365.27,21290.8,21325.19,10223.35957,20891.660333333337,21325.8865,21317.620000000003,21321.856,21134.011397470396,21300.01800850538,20968.004786435413
121,20221106 01:00:00,21325.88,21346.16,21190.0,21197.33,11431.87368,20909.8005,21316.257999999998,21307.431,21290.838,21137.03442767037,21317.672415872992,20956.396439467746
122,20221106 02:00:00,21197.33,21280.64,21189.44,21238.58,9190.90183,20925.13366666667,21308.117000000002,21298.816,21271.484,21141.881932585427,21322.696122382586,20961.06774278827
123,20221106 03:00:00,21238.22,21255.2,21203.51,21233.88,6253.73248,20941.554666666663,21300.59,21290.275,21258.870000000003,21146.27314701956,21319.343901430926,20973.202392608197
