,Date,Time,Open,High,Low,Close,TotalVolume
14020,20221118,16:20:00,16720.12,16726.35,16697.01,16697.66,700.37437
14021,20221118,16:25:00,16697.66,16704.85,16680.77,16690.3,838.20408
14022,20221118,16:30:00,16690.3,16694.2,16652.03,16685.26,1258.45172
14023,20221118,16:35:00,16684.45,16687.8,16662.03,16672.92,684.8515
14024,20221118,16:40:00,16671.67,16678.69,16667.87,16674.12,484.56984
14025,20221118,16:45:00,16675.1,16684.06,16656.45,16660.81,647.80096
14026,20221118,16:50:00,16660.81,16664.32,16625.18,16647.15,1089.59753
14027,20221118,16:55:00,16647.15,16667.41,16638.69,16654.8,835.94704
14028,20221118,17:00:00,16654.79,16667.43,16638.41,16645.45,627.67868
14029,20221118,17:05:00,16646.48,16649.04,16556.77,16568.61,2259.14812
14030,20221118,17:10:00,16566.97,16597.26,16553.84,16587.58,1392.62091
14031,20221118,17:15:00,16587.58,16614.02,16550.19,16599.89,1254.12164
14032,20221118,17:20:00,16598.92,16607.66,16581.47,16582.37,783.93591
14033,20221118,17:25:00,16583.35,16609.6,16578.74,16604.7,639.29826
14034,20221118,17:30:00,16604.7,16606.0,16586.48,16603.43,665.04775
14035,20221118,17:35:00,16603.43,16606.6,16566.45,16583.5,770.37054
14036,20221118,17:40:00,16583.5,16592.9,16568.17,16584.81,493.565
14037,20221118,17:45:00,16584.81,16595.31,16568.8,16589.51,522.88992
14038,20221118,17:50:00,16589.45,16606.94,16568.79,16574.29,913.39404
14039,20221118,17:55:00,16575.2,16600.8,16573.63,16597.08,623.19525
14040,20221118,18:00:00,16596.06,16602.1,16585.0,16593.82,611.9724
14041,20221118,18:05:00,16593.82,16609.88,16583.69,16607.54,626.53001
14042,20221118,18:10:00,16608.16,16613.03,16594.28,16605.11,880.56954
14043,20221118,18:15:00,16606.93,16607.26,16572.11,16576.25,698.76818
14044,20221118,18:20:00,16576.25,16580.99,16546.04,16575.35,878.71441
14045,20221118,18:25:00,16576.42,16589.0,16566.51,16585.5,489.92503
14046,20221118,18:30:00,16585.11,16590.97,16564.66,16581.0,442.57242
14047,20221118,18:35:00,16581.0,16587.41,16574.98,16584.38,455.12429
14048,20221118,18:40:00,16583.57,16592.24,16578.21,16587.14,567.08594
14049,20221118,18:45:00,16586.33,16597.48,16569.54,16576.72,532.95135
14050,20221118,18:50:00,16576.72,16590.0,16566.25,16572.03,510.79754
14051,20221118,18:55:00,16571.27,16588.9,16564.16,16587.43,555.10484
14052,20221118,19:00:00,16588.11,16627.33,16583.38,16603.85,1121.76626
14053,20221118,19:05:00,16603.85,16605.68,16578.0,16586.52,625.12253
14054,20221118,19:10:00,16586.52,16591.18,16569.92,16571.37,636.66779
14055,20221118,19:15:00,16570.56,16586.19,16567.28,16574.72,589.89249
14056,20221118,19:20:00,16573.95,16605.34,16571.32,16603.74,515.90057
14057,20221118,19:25:00,16604.2,16617.93,16591.91,16609.67,757.63429
14058,20221118,19:30:00,16610.23,16617.9,16598.09,16608.99,551.3598
14059,20221118,19:35:00,16608.29,16609.0,16589.16,16603.04,430.29882
14060,20221118,19:40:00,16604.1,16609.31,16598.45,16598.84,340.81126
14061,20221118,19:45:00,16598.84,16614.07,16590.96,16599.08,487.55803
14062,20221118,19:50:00,16599.9,16609.07,16588.0,16604.43,405.85994
14063,20221118,19:55:00,16604.43,16674.31,16603.17,16656.37,1437.19393
14064,20221118,20:00:00,16656.36,16661.17,16639.35,16652.98,884.47029
14065,20221118,20:05:00,16652.98,16658.11,16638.01,16651.4,731.63015
14066,20221118,20:10:00,16651.4,16683.0,16643.42,16660.22,1201.37482
14067,20221118,20:15:00,16660.22,16664.37,16647.42,16661.37,509.88703
14068,20221118,20:20:00,16660.56,16666.26,16636.04,16645.52,792.14943
14069,20221118,20:25:00,16646.18,16658.23,16641.14,16644.07,521.60983
14070,20221118,20:30:00,16644.08,16647.86,16626.22,16630.0,842.11819
14071,20221118,20:35:00,16629.7,16636.98,16610.0,16623.97,789.07395
